blockNumber,timeStamp,hash,nonce,blockHash,sender,contractAddress,receiver,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,date,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,last_updated,value_usd
3919971,2017-06-23 22:19:44,0x45d501a33a799657d2c1e5dce6b55827e931fb5d0316cb3fd860aab6231c5c94,211,0xe6998a5ce893cd025a54f98959a4ebe7db9b6d95830909dbec0e629d65e955f7,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xe45df57df7980d8219a5ea811aff949907d0a355,1e-18,CRYPTOPUNKS,Ͼ,0,37,100000,3000000000,62648,3592977,deprecated,17689461,2017-06-23,,,,,,,
3919984,2017-06-23 22:24:22,0x887916a613b941174a420f288759383dcc5829e7c20daf32a59c45b99d2ee977,23,0x82b37233d4a19dd86df5d437a3685ebf7920804ca6d246ea3a035c0cdb00e107,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd3a6660309fb9e0129b9b777a9ccb9c2869dc,1e-18,CRYPTOPUNKS,Ͼ,0,30,93178,50000000000,47648,985002,deprecated,17689448,2017-06-23,,,,,,,
3920019,2017-06-23 22:32:28,0x24a20fc62cee19f2e0fcfa28f69c93303a731d10ffc27e1ee3606cf42bd80c39,5,0x9690137c9991fe7ff938bece3ea488378e5c2d54bd4caf0301c7f71419cbdee8,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x948a1032b31aa3a2273bb9deaaab07be09e7afe7,1e-18,CRYPTOPUNKS,Ͼ,0,14,192648,50000000000,62648,453555,deprecated,17689413,2017-06-23,,,,,,,
3920026,2017-06-23 22:35:04,0x30eda1f9a9d1ec16be8802d2332c7696bd25897eab15ad0269f8e73ed9a9e2b9,172,0x4ce57b1345e7784d9ce33dbf38b34282b551950c6127903705b0c8ec33579bca,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x582b2164d8c0ad22e0777275d646f29fd18d27c4,1e-18,CRYPTOPUNKS,Ͼ,0,46,200000,4000000000,59643,3380220,deprecated,17689406,2017-06-23,,,,,,,
3920038,2017-06-23 22:38:18,0x0aa03aa6793c281d626e752ff76676d5c73e1705bab35aeab7232b2ef98021d9,173,0x38b32df73ad4fdd811b929309f7bcb5e13c1baff88a2a8c45b10fe52fbd138ee,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x871f66e0c9c77141d25fb52222ace830b584f209,1e-18,CRYPTOPUNKS,Ͼ,0,43,200000,4000000000,59643,1421282,deprecated,17689394,2017-06-23,,,,,,,
3920099,2017-06-23 22:56:29,0x24893e1197d9da51601987636e2c2bea6d7e56391eb410b44ff5aa8ea80fc068,259,0x4e9fe3ecb24d67185128abaaaff46ce5f5a71fde3a34ed43b0b6c590b1b1ba44,0xc352b534e8b987e036a93539fd6897f53488e56a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00d7c902fbbcd3c9db2da80a439c94486c50eb81,1e-18,CRYPTOPUNKS,Ͼ,0,14,213163,18000000000,68163,466529,deprecated,17689333,2017-06-23,,,,,,,
3920120,2017-06-23 23:02:35,0x23d6e24628dabf4fa92fa93630e5fa6f679fac75071aab38d7e307a3c0f4a3ca,585,0xe671b2fba32aac26ef0903c92dd4f9504a279b5b161b13c8ab40b4396e98e6fe,0x00bd9fd57c423a1b1c969823d409156d90974d77,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,22,171488,50000000000,97907,733866,deprecated,17689312,2017-06-23,,,,,,,
3920141,2017-06-23 23:09:56,0xebf7fee55fd7951913ceb47eb6fd40a4269d78bb1063802eadd881a410cbb294,7,0xa2abda9968f9dcd8ac7f1d098c1261544c4648fd4d6d76951942f7d41c54f9a1,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x948a1032b31aa3a2273bb9deaaab07be09e7afe7,1e-18,CRYPTOPUNKS,Ͼ,0,33,177648,50000000000,47648,1684886,deprecated,17689291,2017-06-23,,,,,,,
3920190,2017-06-23 23:26:08,0xfbf5a9f6097407f49ce579ca1a74a309f88eeb9fe97610427a1091e702c03a31,57,0x69d3afdc0fb1aca74ad9d820dfdbb87ee3acef349c4cf8a4c2e700b5e4e02eb0,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x005734d7d408bccf41cff34b46244551d01f0a6b,1e-18,CRYPTOPUNKS,Ͼ,0,20,93178,50000000000,47648,912323,deprecated,17689242,2017-06-23,,,,,,,
3920204,2017-06-23 23:31:47,0x9ba97a949d47a54ddfe625d5d1cb4bb581a391a628d4d29ea765aac8565c39ff,58,0x892266e37c9d6851aae2067794cd10772302ae3e4835c288c97764e6f0f8ac22,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x005734d7d408bccf41cff34b46244551d01f0a6b,1e-18,CRYPTOPUNKS,Ͼ,0,7,111178,50000000000,62648,370578,deprecated,17689228,2017-06-23,,,,,,,
3920217,2017-06-23 23:35:25,0x73f2b7bd97f0a2f802dd1954ab8bb88e7b2b784fbab89b771a87423262767eeb,214,0xb93f0611dcc3a966f47177473223c0166fa9250595033a4eafeb18de519089b8,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xe45df57df7980d8219a5ea811aff949907d0a355,1e-18,CRYPTOPUNKS,Ͼ,0,30,150000,3000000000,47648,1606057,deprecated,17689215,2017-06-23,,,,,,,
3920234,2017-06-23 23:40:04,0x1c5c7c4e9ddd6e5e3f4da7ca096a7d2066c61e54632fbd69eb272d14c8ae8bc4,9,0xefdfc942d0d0d57ce1328ea1910995f3e2dfc6e64c5af64171b3c9e659f4f577,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x948a1032b31aa3a2273bb9deaaab07be09e7afe7,1e-18,CRYPTOPUNKS,Ͼ,0,4,177648,50000000000,47648,160807,deprecated,17689198,2017-06-23,,,,,,,
3920546,2017-06-24 01:06:38,0x5bb4ae7107856b90712ec29feeae8c840fa06313283f9e7f129c0d05153e1e81,229,0xb066483b01702bf0e83bf00c6067b9112b46839c26e1d1248c14d97acc761b3f,0x58164b2d74c45f06cde451fc307092d55ebe5730,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xe45df57df7980d8219a5ea811aff949907d0a355,1e-18,CRYPTOPUNKS,Ͼ,0,40,150000,3000000000,62648,2128829,deprecated,17688886,2017-06-24,,,,,,,
3920547,2017-06-24 01:07:01,0x93ce12a0273dcbc420a7db2f2fe8f158c8306ec9127562a20ec7bc616e0db98a,0,0x2c38f3ce9243988f48f8da9477eb39e7cd710cd006247bd2fa32bd4dbd637c7a,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xedc9c1c41548c0881aed70f65ccd8cbf904058c5,1e-18,CRYPTOPUNKS,Ͼ,0,19,192648,50000000000,62648,593606,deprecated,17688885,2017-06-24,,,,,,,
3920559,2017-06-24 01:12:01,0xaf3a4e19bcda8dfafd07cc51d9d952e3919b6e359be594959ba66eaa12ff89a3,230,0x60db5eb941eb440a60e423ff6c1f2c8d8fcc78a8db3976eae74e1c2587bc4a13,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xe45df57df7980d8219a5ea811aff949907d0a355,1e-18,CRYPTOPUNKS,Ͼ,0,58,150000,3000000000,47648,3004785,deprecated,17688873,2017-06-24,,,,,,,
3920593,2017-06-24 01:25:57,0xb52ec9b709245df82a1ddc39893df43ffa61b98ef2a751ecc77fc0fb522600d0,23,0x09f72ccc3f0ec4578d391eb5225bbf4b676191125e58c137db566d2be0e57c08,0xded2cb7109ebfe5e6ef409995b0af2211a22a6c9,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,40,143227,21000000000,98227,1029898,deprecated,17688839,2017-06-24,,,,,,,
3920731,2017-06-24 02:01:48,0x7b67a89be7c3956f4e00ac37a05daf5fb27ca8a6ee40f66e89882259041cc6e6,237,0x69c6a5c9cded678da7fe3ef7791512e8d93354fb06fbdf967ffb7a9754b9f0b4,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xe45df57df7980d8219a5ea811aff949907d0a355,1e-18,CRYPTOPUNKS,Ͼ,0,47,150000,3000000000,62648,4275880,deprecated,17688701,2017-06-24,,,,,,,
3920750,2017-06-24 02:08:08,0x47612c75f711e13e171aff858a6a499455296a023e80ad76422e36cf968c84ee,1,0x017875985193f90a402c95eb9fd266549d45b2a6a25bf45cfe135aa60fff3ab7,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xedc9c1c41548c0881aed70f65ccd8cbf904058c5,1e-18,CRYPTOPUNKS,Ͼ,0,29,177648,50000000000,47648,709144,deprecated,17688682,2017-06-24,,,,,,,
3921010,2017-06-24 03:24:08,0xae570bdfc47c82c68696926152cb0de1328a74a1e4cf1d4349605e36ca64c057,52,0x711cdf31d00336b7c1523c4f011e99726d488ccde05defecd8a2a2f766cac74c,0x3ef5f421e155ed29e6fa815fd875bfcd5f22ecd1,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,44,143291,21000000000,98291,2403271,deprecated,17688422,2017-06-24,,,,,,,
3921404,2017-06-24 05:22:17,0x087a507fe19c89f1273e2fe4574a20b5f4da52faba5ee2d8801760d2c78636d3,204,0xee8a6173dbedab24b112248871384a76df3ce39cc0a885ee18e933c02cfc3c30,0x5b098b00621eda6a96b7a476220661ad265f083f,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xcbd482af76059e2a5e4a825c4cd5ced9f2dfe286,1e-18,CRYPTOPUNKS,Ͼ,0,86,200000,4000000000,42557,4428231,deprecated,17688028,2017-06-24,,,,,,,
3922521,2017-06-24 10:48:15,0x26671b51f04a013dc15cd7ac6dfd930e6bcccb695131f1514ac4a2dd5e52c3e6,0,0x05c444629fff0c5bf31f8fa4d46bf93126869ebe0d573e6b23dc70ac67802c26,0xded2cb7109ebfe5e6ef409995b0af2211a22a6c9,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x7d9f4a3ab2568f61c9087a8b5506dfcd5e8fea49,1e-18,CRYPTOPUNKS,Ͼ,0,28,207648,50000000000,77648,1390400,deprecated,17686911,2017-06-24,,,,,,,
3922755,2017-06-24 11:58:51,0x24fd61ab96532ad9ae4a33c0a53c4dd53d76d625bfea19cd160efa38e8a4225e,22,0xe358a679e88b505990e2d014e4186ee885ccdb0706b9df0f436303e1f6ff8ad0,0xe4d36bb198a38fc1d5aee62164831e86dfcdac88,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,1e-18,CRYPTOPUNKS,Ͼ,0,51,44644,26000000000,44643,1806446,deprecated,17686677,2017-06-24,,,,,,,
3922758,2017-06-24 11:59:22,0xa56cc6444420c4279a8e69e49b81f6d91129340a0333860a24d103afa24200c1,23,0xb103131e284c51c903ffd98d450d8d4efc67a482291ac71cf74a3bb2a398a485,0xe4d36bb198a38fc1d5aee62164831e86dfcdac88,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,1e-18,CRYPTOPUNKS,Ͼ,0,21,44644,26000000000,44643,555430,deprecated,17686674,2017-06-24,,,,,,,
3922758,2017-06-24 11:59:22,0x8a6d5f45940e7412663228c21c4f889d847ff1b5fb42ef3ac3fe19cef7f929f8,24,0xb103131e284c51c903ffd98d450d8d4efc67a482291ac71cf74a3bb2a398a485,0xe4d36bb198a38fc1d5aee62164831e86dfcdac88,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,1e-18,CRYPTOPUNKS,Ͼ,0,33,44644,26000000000,44643,1099676,deprecated,17686674,2017-06-24,,,,,,,
3922762,2017-06-24 12:00:47,0x98d6f8e0c32efbfb6bac1aa5c9dd7359d5e2736d98f663665b0b304de90f1488,25,0xf8e6c96d5421d03c482b03d73dc6ed8db60e5af156264e0012177740c8d1b8ee,0xe4d36bb198a38fc1d5aee62164831e86dfcdac88,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,1e-18,CRYPTOPUNKS,Ͼ,0,47,44644,26000000000,44643,1498527,deprecated,17686670,2017-06-24,,,,,,,
3922762,2017-06-24 12:00:47,0xa2410ac33bca49bd6f049a12b53b6fe44e908b0ca7798122ca2af3806d1d2375,26,0xf8e6c96d5421d03c482b03d73dc6ed8db60e5af156264e0012177740c8d1b8ee,0xe4d36bb198a38fc1d5aee62164831e86dfcdac88,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x53ede7cae3eb6a7d11429fe589c0278c9acbe21a,1e-18,CRYPTOPUNKS,Ͼ,0,66,44644,26000000000,44643,2749389,deprecated,17686670,2017-06-24,,,,,,,
3923588,2017-06-24 16:00:46,0x0944f96c1162216d4463fb2e19b80efdeb4d1f6703596bc7e5d8a8b04145ab9a,60,0xbc10bd2a649fe16e642c0808396d96cc9644cb6d043940d3f327e4286ca193c5,0x0f4023208058ecffcb22a7409df11f6d6013fe8a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x005734d7d408bccf41cff34b46244551d01f0a6b,1e-18,CRYPTOPUNKS,Ͼ,0,19,111178,50000000000,62648,554267,deprecated,17685844,2017-06-24,,,,,,,
3923590,2017-06-24 16:02:11,0xfb16caa20c8384aeb17ee8f2305da300d6a55354687560987cffdc5d95dfcd05,7,0xe2cb147a0185b0e90a601de02a085d474d10cb973acc707767d9c7fcfdb2baaa,0x0f4023208058ecffcb22a7409df11f6d6013fe8a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x007508a6c38bcf12a30728c363968dab1be6384a,1e-18,CRYPTOPUNKS,Ͼ,0,20,111178,51000000000,47648,1068929,deprecated,17685842,2017-06-24,,,,,,,
3923729,2017-06-24 16:44:26,0x848318714d447f2000c3f6072e340a04282a5348d284c0b8b6306c764c59cba6,206,0xe2286e171c388e697b81ecdf3bd08f4d5d2d5ec7b1ad16c4715a47690766d38f,0x00bd9fd57c423a1b1c969823d409156d90974d77,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,16,200000,4000000000,62648,4204010,deprecated,17685703,2017-06-24,,,,,,,
3923733,2017-06-24 16:46:04,0xcab205725abd40828accd81df55f139ee462ba5b88e74cca7c60239daf804731,207,0xcee7ef696403fab14b14f39d2897dcc221ce3f3c9f2e2e397b1cee0edc3bf062,0x682c303ce4c38c275cf23b38656340d6ba322832,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,65,200000,4000000000,59491,4558269,deprecated,17685699,2017-06-24,,,,,,,
3923740,2017-06-24 16:47:25,0x4a6298b27e2accc2b1d11384f527a4125ec892721324d36eb03641e69c4b6fb2,209,0x55e4583fd631e37fee0fa6a0c94500b4f337d05ef23ed4382694a037248008ad,0x0f4023208058ecffcb22a7409df11f6d6013fe8a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,23,200000,12000000000,47648,1460457,deprecated,17685692,2017-06-24,,,,,,,
3923741,2017-06-24 16:47:35,0xea5f5ef0cdf4f064945603443ad2881f7e5b051b35c23bdc02ee060d0f5ec827,210,0x54342dea925c1845f17b8aed54167f10cc9afcdf03b65276eb60cf7002905ca5,0x0f4023208058ecffcb22a7409df11f6d6013fe8a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,26,200000,12000000000,47648,1161502,deprecated,17685691,2017-06-24,,,,,,,
3923846,2017-06-24 17:17:04,0x4bda0fa1c0b24da2b2722cbdfafd8c08e9609b60df9f40b9c3631ad69655a9f6,211,0x31fc83b98006ca14ca08594a0d4e2c3fff161ef65d66da68844db7ad9a25b5f5,0x682c303ce4c38c275cf23b38656340d6ba322832,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,47,200000,8000000000,47648,1682227,deprecated,17685586,2017-06-24,,,,,,,
3923846,2017-06-24 17:17:04,0x44ed3b3db983a57e760d9645c61566817a1438cceff1d0194de94b16f808591f,212,0x31fc83b98006ca14ca08594a0d4e2c3fff161ef65d66da68844db7ad9a25b5f5,0x682c303ce4c38c275cf23b38656340d6ba322832,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,59,200000,8000000000,47648,2433370,deprecated,17685586,2017-06-24,,,,,,,
3924277,2017-06-24 19:18:39,0x714b52d8a73158f737f6db47e427332073bde10e40bfcecb14fb649881040a75,806,0x825a46c47a8a16a0219dd369800da7ac060d770e56092f84ad4189785718a370,0xcbd482af76059e2a5e4a825c4cd5ced9f2dfe286,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x2e5d4bafaa4d2a5476ee423adbc7f5863e452f12,1e-18,CRYPTOPUNKS,Ͼ,0,66,158227,25000000000,113227,2217816,deprecated,17685155,2017-06-24,,,,,,,
3924724,2017-06-24 21:35:31,0x1dd8a4a471c5eb3690361d9972d44a9e210310de35817bd1ef150edc7c11d4e7,66,0x5036f9772845d57d3d6547895f796419b12ae310cb590a317d27c624cd4c2cd1,0x0b30fd3a500608413837bb025c2018933130f9db,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,41,143291,21000000000,98291,2864353,deprecated,17684708,2017-06-24,,,,,,,
3924736,2017-06-24 21:38:27,0x8947843febdbaef89dd81574c0dcc0a9e409065bb9d889121363ea6184940651,589,0x69d531cedb01df3440b7d4d2de831d0354f0cb4717c134de9a8ae04a28002446,0x682c303ce4c38c275cf23b38656340d6ba322832,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x00bd9fd57c423a1b1c969823d409156d90974d77,1e-18,CRYPTOPUNKS,Ͼ,0,31,93178,31000000000,47648,2957983,deprecated,17684696,2017-06-24,,,,,,,
3924814,2017-06-24 22:02:13,0x65a84c5cdf2948ba2d6bccfcaeef4e1c1741713b4e5f14184d5fb718bcc7869b,3,0x292f86257b1039fb8353652bcabed9c45fe393606e706d5f5efc11380fabaf07,0x0f4023208058ecffcb22a7409df11f6d6013fe8a,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x7d9f4a3ab2568f61c9087a8b5506dfcd5e8fea49,1e-18,CRYPTOPUNKS,Ͼ,0,3,192648,50000000000,62648,173167,deprecated,17684618,2017-06-24,,,,,,,
3924894,2017-06-24 22:21:52,0x6d654507752e13fc7fca12c88d1000d4bda74d78bcd8e9d279e04dff1a9a8b43,120,0x0de73dca65a01b1cf8f080e05d0cb8023bb9b1f0c85928d509ef131a7215fecb,0xd4fa6e82c77716fa1ef7f5defc5fd6eeefbd3bff,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5f7190b7943858b7bdd24f069241612091c6a986,1e-18,CRYPTOPUNKS,Ͼ,0,12,92648,33000000000,62648,429228,deprecated,17684538,2017-06-24,,,,,,,
3925237,2017-06-24 23:57:16,0x2f99a78c4abce10fc593b9fc8235f1895f54b7b4118cedce6df04eaf16a711c9,35,0x4fa1142e07d36d7e0f58bef925afad143927e8259461509b65206bc07bb4f12b,0xf138eb67f008da11daba9bcffc7a21f31b8b2b14,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x5b098b00621eda6a96b7a476220661ad265f083f,1e-18,CRYPTOPUNKS,Ͼ,0,19,142907,21000000000,97907,1761564,deprecated,17684195,2017-06-24,,,,,,,
3926081,2017-06-25 04:06:02,0xb0286c98f3d3646e2723d2045fce85777b67412c1fa49d90e2600fb9564d5f22,0,0x939a72930557661389e1e53aab70a4ad0c61e2f3129bda26c9d0f861ab361ca5,0xff84140cedeee480b804d211b48a2a6d68ba5941,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0x6b88aced83e68a3bbf8b9b8744bee30e69215c54,1e-18,CRYPTOPUNKS,Ͼ,0,29,207648,50000000000,77648,957411,deprecated,17683351,2017-06-25,,,,,,,
3926279,2017-06-25 05:03:53,0x654937cf32a2ebc6b302ee4a3c15927272ec8e3208e989da626c14b96ba93305,340,0x65910a22398a9e690de90cb6fcef9e4756696b48e21aeff7e3121a31e4390a18,0x0bf913bedf5c6aca673db3b697a4e543550ceb4d,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,0xe45df57df7980d8219a5ea811aff949907d0a355,1e-18,CRYPTOPUNKS,Ͼ,0,51,150000,4000000000,62648,2523297,deprecated,17683153,2017-06-25,,,,,,,
